A. IDENTIFICATION DU VEHICULE ;A.1. NUMERO D'IMMATRICULATION ;A.1.1. PLAQUE D'IMMATRICULATION ;A.1.1.1. ETAT ;A.1.1.1.1. ;Mauvais �tat de la plaque avant / D�collement de num�ro ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.1. NUMERO D'IMMATRICULATION ;A.1.1. PLAQUE D'IMMATRICULATION ;A.1.1.1. ETAT ;A.1.1.1.2. ;Mauvais �tat de la plaque arri�re / D�collement de num�ro ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.1. NUMERO D'IMMATRICULATION ;A.1.1. PLAQUE D'IMMATRICULATION ;A.1.1.1. ETAT ;A.1.1.1.3. ;D�t�rioration mineure / Commande en cours ;1; ;;
A. IDENTIFICATION DU VEHICULE ;A.1. NUMERO D'IMMATRICULATION ;A.1.1. PLAQUE D'IMMATRICULATION ;A.1.1.1. ETAT ;A.1.1.1.4. ;Absence du message de s�curisation ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.1. NUMERO D'IMMATRICULATION ;A.1.1. PLAQUE D'IMMATRICULATION ;A.1.1.2. SPECIFICATION ;A.1.1.2.1. ;Non concordance avec la carte grise (AV, AR.) ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.1. NUMERO D'IMMATRICULATION ;A.1.1. PLAQUE D'IMMATRICULATION ;A.1.1.3. FIXATION ;A.1.1.3.1. ;Mauvaise fixation de la plaque d'immatriculation (AV, AR) ;1; ;;
A. IDENTIFICATION DU VEHICULE ;A.1. NUMERO D'IMMATRICULATION ;A.1.1. PLAQUE D'IMMATRICULATION ;A.1.1.4. EXISTENCE ;A.1.1.4.1. ;Absence (AV, AR) ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.2. CARTE GRISE ;A.2.1 ;;A.2.1.1. ;Mauvais �tat de la carte grise ;1; ;;
A. IDENTIFICATION DU VEHICULE ;A.2. CARTE GRISE ;A.2.1 ;;A.2.1.2. ;Non concordance d'un caract�re sur la carte grise ;1; ;;
A. IDENTIFICATION DU VEHICULE ;A.2. CARTE GRISE ;A.2.1 ;;A.2.1.3. ;Num�ro de s�rie incomplet sur la carte grise ;1; ;;
A. IDENTIFICATION DU VEHICULE ;A.2. CARTE GRISE ;A.2.1 ;;A.2.1.4. ;Information erron�e: �nergie, couleur, nombre de places, ;1; ;;
A. IDENTIFICATION DU VEHICULE ;A.2. CARTE GRISE ;A.2.1 ;;A.2.1.5. ;Modification notable: Type, Carrosserie, Nombre de places, Couleur Taxi ;2; ;;
